FILE TYPE,PROVIDER,MIN SIZE of trip,GAP (seconds),MIN TRAVEL TIME (seconds),MIN MEDIAN SPEED (km/h),MIN TRAVEL DISTANCE (feet),NUM ROWS
trip_meta,CONSUMER,5,240,120,5,1000,3262
trip_meta,CONSUMER,5,240,120,5,1000,3262
trip_meta,CONSUMER,5,240,120,5,1800,3252
trip_meta,CONSUMER,5,240,120,5,1800,3252
trip_meta,CONSUMER,5,240,120,5,2400,3249
trip_meta,CONSUMER,5,240,120,5,2400,3249
processed,CONSUMER,5,240,120,10,1000,2912
processed,CONSUMER,5,240,120,10,1000,2912
processed,CONSUMER,5,240,120,10,1800,2908
processed,CONSUMER,5,240,120,10,1800,2908
processed,CONSUMER,5,240,120,10,2400,2906
processed,CONSUMER,5,240,120,10,2400,2906
processed,CONSUMER,5,240,120,15,1000,2672
processed,CONSUMER,5,240,120,15,1000,2672
processed,CONSUMER,5,240,120,15,1800,2669
processed,CONSUMER,5,240,120,15,1800,2669
processed,CONSUMER,5,240,120,15,2400,2667
processed,CONSUMER,5,240,120,15,2400,2667
trip_meta,CONSUMER,5,240,180,5,1000,2738
trip_meta,CONSUMER,5,240,180,5,1000,2738
trip_meta,CONSUMER,5,240,180,5,1800,2731
trip_meta,CONSUMER,5,240,180,5,1800,2731
trip_meta,CONSUMER,5,240,180,5,2400,2730
trip_meta,CONSUMER,5,240,180,5,2400,2730
processed,CONSUMER,5,240,180,10,1000,2447
processed,CONSUMER,5,240,180,10,1000,2447
processed,CONSUMER,5,240,180,10,1800,2445
processed,CONSUMER,5,240,180,10,1800,2445
processed,CONSUMER,5,240,180,10,2400,2444
processed,CONSUMER,5,240,180,10,2400,2444
processed,CONSUMER,5,240,180,15,1000,2249
processed,CONSUMER,5,240,180,15,1000,2249
processed,CONSUMER,5,240,180,15,1800,2248
processed,CONSUMER,5,240,180,15,1800,2248
processed,CONSUMER,5,240,180,15,2400,2247
processed,CONSUMER,5,240,180,15,2400,2247
trip_meta,CONSUMER,5,240,240,5,1000,2306
trip_meta,CONSUMER,5,240,240,5,1000,2306
trip_meta,CONSUMER,5,240,240,5,1800,2302
trip_meta,CONSUMER,5,240,240,5,1800,2302
trip_meta,CONSUMER,5,240,240,5,2400,2301
trip_meta,CONSUMER,5,240,240,5,2400,2301
processed,CONSUMER,5,240,240,10,1000,2082
processed,CONSUMER,5,240,240,10,1000,2082
processed,CONSUMER,5,240,240,10,1800,2082
processed,CONSUMER,5,240,240,10,1800,2082
processed,CONSUMER,5,240,240,10,2400,2081
processed,CONSUMER,5,240,240,10,2400,2081
processed,CONSUMER,5,240,240,15,1000,1923
processed,CONSUMER,5,240,240,15,1000,1923
processed,CONSUMER,5,240,240,15,1800,1923
processed,CONSUMER,5,240,240,15,1800,1923
processed,CONSUMER,5,240,240,15,2400,1922
processed,CONSUMER,5,240,240,15,2400,1922
